"Total character count: 46,841,097",,,,,,
"Context number: 6,243",,,,,,
Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD
损,2774,59.22,3.4431,1703,27.28,3.2312
辩,2765,59.03,3.4417,1071,17.16,3.0298
惯,2765,59.03,3.4417,1963,31.44,3.2929
傲,2748,58.67,3.439,1676,26.85,3.2243
减,2748,58.67,3.439,1651,26.45,3.2177
泡,2747,58.65,3.4389,1453,23.27,3.1623
摸,2739,58.47,3.4376,1464,23.45,3.1655
著,2734,58.37,3.4368,1615,25.87,3.2082
途,2728,58.24,3.4358,1888,30.24,3.276
矶,2726,58.2,3.4355,993,15.91,2.9969
鼓,2726,58.2,3.4355,1537,24.62,3.1867
堡,2722,58.11,3.4349,1173,18.79,3.0693
愚,2721,58.09,3.4347,1761,28.21,3.2458
敏,2718,58.03,3.4342,1384,22.17,3.1411
版,2708,57.81,3.4326,1446,23.16,3.1602
盒,2706,57.77,3.4323,1291,20.68,3.1109
订,2705,57.75,3.4322,1532,24.54,3.1853
寄,2697,57.58,3.4309,1518,24.32,3.1813
赚,2694,57.51,3.4304,1494,23.93,3.1744
爵,2690,57.43,3.4298,601,9.63,2.7789
材,2684,57.3,3.4288,1588,25.44,3.2009
盛,2683,57.28,3.4286,1437,23.02,3.1575
尤,2679,57.19,3.428,1397,22.38,3.1452
皇,2676,57.13,3.4275,1057,16.93,3.0241
夺,2672,57.04,3.4268,1615,25.87,3.2082
邮,2666,56.92,3.4259,1325,21.22,3.1222
俱,2656,56.7,3.4242,1301,20.84,3.1143
九,2654,56.66,3.4239,1502,24.06,3.1767
盗,2653,56.64,3.4237,1037,16.61,3.0158
尺,2651,56.6,3.4234,1465,23.47,3.1658
愉,2644,56.45,3.4223,1790,28.67,3.2529
序,2630,56.15,3.42,1430,22.91,3.1553
鼠,2619,55.91,3.4181,1152,18.45,3.0615
幕,2616,55.85,3.4176,1590,25.47,3.2014
踢,2616,55.85,3.4176,1329,21.29,3.1235
憾,2611,55.74,3.4168,1804,28.9,3.2562
汰,2611,55.74,3.4168,461,7.38,2.6637
隔,2609,55.7,3.4165,1653,26.48,3.2183
彻,2605,55.61,3.4158,1616,25.88,3.2084
插,2597,55.44,3.4145,1720,27.55,3.2355
猎,2594,55.38,3.414,1075,17.22,3.0314
尚,2594,55.38,3.414,1106,17.72,3.0438
潜,2589,55.27,3.4131,1410,22.59,3.1492
构,2583,55.14,3.4121,1583,25.36,3.1995
烤,2583,55.14,3.4121,1340,21.46,3.1271
霍,2577,55.02,3.4111,573,9.18,2.7582
悔,2575,54.97,3.4108,1448,23.19,3.1608
暂,2571,54.89,3.4101,1758,28.16,3.245
爽,2566,54.78,3.4093,1497,23.98,3.1752
扎,2561,54.67,3.4084,1275,20.42,3.1055
绪,2558,54.61,3.4079,1658,26.56,3.2196
讯,2547,54.38,3.406,1265,20.26,3.1021
吐,2543,54.29,3.4053,1429,22.89,3.155
吹,2540,54.23,3.4048,1520,24.35,3.1818
宾,2536,54.14,3.4041,1178,18.87,3.0711
侦,2536,54.14,3.4041,1033,16.55,3.0141
颗,2525,53.91,3.4023,1390,22.26,3.143
宁,2523,53.86,3.4019,1582,25.34,3.1992
罚,2516,53.71,3.4007,1469,23.53,3.167
欲,2515,53.69,3.4005,1645,26.35,3.2162
乡,2509,53.56,3.3995,1305,20.9,3.1156
帽,2508,53.54,3.3993,1266,20.28,3.1024
杜,2508,53.54,3.3993,522,8.36,2.7177
豪,2507,53.52,3.3992,1509,24.17,3.1787
征,2504,53.46,3.3986,1552,24.86,3.1909
括,2502,53.41,3.3983,1750,28.03,3.243
盯,2501,53.39,3.3981,1670,26.75,3.2227
稳,2495,53.27,3.3971,1567,25.1,3.1951
胆,2487,53.09,3.3957,1601,25.64,3.2044
甲,2487,53.09,3.3957,1181,18.92,3.0722
赖,2485,53.05,3.3953,1383,22.15,3.1408
啤,2484,53.03,3.3952,1241,19.88,3.0938
佩,2476,52.86,3.3938,856,13.71,2.9325
启,2475,52.84,3.3936,1365,21.86,3.1351
胎,2470,52.73,3.3927,1209,19.37,3.0824
帐,2467,52.67,3.3922,1333,21.35,3.1248
赏,2464,52.6,3.3916,1534,24.57,3.1858
抛,2455,52.41,3.3901,1577,25.26,3.1978
遭,2455,52.41,3.3901,1652,26.46,3.218
若,2455,52.41,3.3901,1081,17.32,3.0338
梯,2443,52.16,3.3879,1191,19.08,3.0759
震,2443,52.16,3.3879,1325,21.22,3.1222
述,2432,51.92,3.386,1521,24.36,3.1821
阵,2429,51.86,3.3854,1564,25.05,3.1942
仪,2427,51.81,3.3851,1314,21.05,3.1186
乖,2424,51.75,3.3845,1119,17.92,3.0488
宫,2421,51.69,3.384,892,14.29,2.9504
咬,2419,51.64,3.3836,1214,19.45,3.0842
祷,2416,51.58,3.3831,1258,20.15,3.0997
祖,2413,51.51,3.3826,1081,17.32,3.0338
蜜,2405,51.34,3.3811,1069,17.12,3.029
耍,2393,51.09,3.3789,1545,24.75,3.1889
拼,2387,50.96,3.3779,1339,21.45,3.1268
惜,2384,50.9,3.3773,1728,27.68,3.2375
忠,2383,50.87,3.3771,1371,21.96,3.137
策,2376,50.72,3.3758,1471,23.56,3.1676
鼻,2373,50.66,3.3753,1318,21.11,3.1199
钻,2373,50.66,3.3753,949,15.2,2.9773
池,2372,50.64,3.3751,1203,19.27,3.0803
虚,2370,50.6,3.3747,1636,26.21,3.2138
桑,2366,50.51,3.374,663,10.62,2.8215
拾,2362,50.43,3.3733,1611,25.8,3.2071
泳,2361,50.4,3.3731,1027,16.45,3.0116
频,2361,50.4,3.3731,1229,19.69,3.0896
尖,2358,50.34,3.3725,1415,22.67,3.1508
申,2358,50.34,3.3725,1243,19.91,3.0945
违,2348,50.13,3.3707,1503,24.07,3.177
零,2337,49.89,3.3687,1411,22.6,3.1495
诊,2337,49.89,3.3687,999,16,2.9996
嘘,2333,49.81,3.3679,1224,19.61,3.0878
惧,2331,49.76,3.3675,1335,21.38,3.1255
拯,2317,49.47,3.3649,1261,20.2,3.1007
痕,2316,49.44,3.3647,1200,19.22,3.0792
批,2313,49.38,3.3642,1445,23.15,3.1599
绿,2312,49.36,3.364,1262,20.21,3.1011
乘,2310,49.32,3.3636,1157,18.53,3.0633
佳,2309,49.29,3.3634,1321,21.16,3.1209
熊,2306,49.23,3.3629,748,11.98,2.8739
辣,2300,49.1,3.3617,1143,18.31,3.058
躺,2294,48.97,3.3606,1527,24.46,3.1838
祈,2293,48.95,3.3604,1253,20.07,3.098
肥,2292,48.93,3.3602,1172,18.77,3.0689
址,2291,48.91,3.36,1369,21.93,3.1364
占,2291,48.91,3.36,1524,24.41,3.183
络,2286,48.8,3.3591,1251,20.04,3.0973
掩,2286,48.8,3.3591,1444,23.13,3.1596
省,2285,48.78,3.3589,1412,22.62,3.1498
羊,2285,48.78,3.3589,1097,17.57,3.0402
荒,2284,48.76,3.3587,1513,24.24,3.1798
督,2282,48.72,3.3583,879,14.08,2.944
撤,2275,48.57,3.357,1101,17.64,3.0418
胖,2272,48.5,3.3564,1052,16.85,3.022
辞,2272,48.5,3.3564,1285,20.58,3.1089
增,2270,48.46,3.356,1494,23.93,3.1744
援,2269,48.44,3.3558,1141,18.28,3.0573
郎,2267,48.4,3.3555,833,13.34,2.9206
献,2264,48.33,3.3549,1400,22.43,3.1461
擦,2260,48.25,3.3541,1418,22.71,3.1517
农,2255,48.14,3.3531,896,14.35,2.9523
邪,2246,47.95,3.3514,1116,17.88,3.0477
姻,2245,47.93,3.3512,1069,17.12,3.029
恢,2243,47.89,3.3508,1459,23.37,3.1641
描,2242,47.86,3.3506,1410,22.59,3.1492
匹,2240,47.82,3.3502,1125,18.02,3.0512
软,2239,47.8,3.3501,1466,23.48,3.1661
埋,2239,47.8,3.3501,1308,20.95,3.1166
惨,2232,47.65,3.3487,1559,24.97,3.1928
洋,2225,47.5,3.3473,1145,18.34,3.0588
纯,2224,47.48,3.3471,1453,23.27,3.1623
浴,2223,47.46,3.3469,1260,20.18,3.1004
贴,2216,47.31,3.3456,1497,23.98,3.1752
尉,2212,47.22,3.3448,480,7.69,2.6812
略,2210,47.18,3.3444,1390,22.26,3.143
符,2209,47.16,3.3442,1289,20.65,3.1103
侵,2205,47.07,3.3434,1219,19.53,3.086
陆,2197,46.9,3.3418,996,15.95,2.9983
载,2197,46.9,3.3418,1313,21.03,3.1183
爬,2192,46.8,3.3408,1306,20.92,3.1159
挖,2184,46.63,3.3393,1154,18.48,3.0622
骄,2173,46.39,3.3371,1398,22.39,3.1455
兽,2168,46.28,3.3361,959,15.36,2.9818
嫁,2163,46.18,3.3351,1182,18.93,3.0726
洁,2163,46.18,3.3351,1087,17.41,3.0362
晨,2163,46.18,3.3351,1422,22.78,3.1529
喊,2156,46.03,3.3336,1369,21.93,3.1364
奏,2153,45.96,3.333,1009,16.16,3.0039
灰,2140,45.69,3.3304,1259,20.17,3.1
摔,2137,45.62,3.3298,1214,19.45,3.0842
羞,2136,45.6,3.3296,1412,22.62,3.1498
邻,2127,45.41,3.3278,1267,20.29,3.1028
椅,2116,45.17,3.3255,1220,19.54,3.0864
颜,2116,45.17,3.3255,1370,21.94,3.1367
欺,2114,45.13,3.3251,1286,20.6,3.1092
端,2113,45.11,3.3249,1437,23.02,3.1575
贺,2097,44.77,3.3216,1119,17.92,3.0488
茶,2089,44.6,3.3199,1057,16.93,3.0241
障,2089,44.6,3.3199,1197,19.17,3.0781
慈,2088,44.58,3.3197,991,15.87,2.9961
仇,2085,44.51,3.3191,1149,18.4,3.0603
厂,2077,44.34,3.3174,926,14.83,2.9666
怨,2077,44.34,3.3174,1478,23.67,3.1697
逊,2075,44.3,3.317,782,12.53,2.8932
黎,2068,44.15,3.3156,827,13.25,2.9175
剪,2064,44.06,3.3147,1021,16.35,3.009
春,2060,43.98,3.3139,1139,18.24,3.0565
额,2059,43.96,3.3137,1306,20.92,3.1159
豆,2056,43.89,3.313,984,15.76,2.993
罢,2056,43.89,3.313,1372,21.98,3.1374
裂,2049,43.74,3.3115,1164,18.64,3.066
挡,2043,43.62,3.3103,1416,22.68,3.1511
偏,2042,43.59,3.3101,1276,20.44,3.1059
糊,2040,43.55,3.3096,1426,22.84,3.1541
卧,2039,43.53,3.3094,1189,19.05,3.0752
敲,2037,43.49,3.309,1279,20.49,3.1069
丧,2034,43.42,3.3084,1412,22.62,3.1498
乌,2017,43.06,3.3047,726,11.63,2.8609
购,2016,43.04,3.3045,1147,18.37,3.0596
域,2003,42.76,3.3017,1169,18.72,3.0678
闲,2002,42.74,3.3015,1456,23.32,3.1632
宇,2001,42.72,3.3012,637,10.2,2.8041
姓,1997,42.63,3.3004,1228,19.67,3.0892
葬,1988,42.44,3.2984,1028,16.47,3.012
党,1985,42.38,3.2978,725,11.61,2.8603
售,1984,42.36,3.2975,1204,19.29,3.0806
涂,1984,42.36,3.2975,1354,21.69,3.1316
碍,1983,42.33,3.2973,1363,21.83,3.1345
柜,1975,42.16,3.2956,1172,18.77,3.0689
壮,1974,42.14,3.2953,1299,20.81,3.1136
裁,1972,42.1,3.2949,1023,16.39,3.0099
珠,1970,42.06,3.2945,776,12.43,2.8899
咪,1967,41.99,3.2938,611,9.79,2.786
耐,1965,41.95,3.2934,1337,21.42,3.1261
勃,1956,41.76,3.2914,528,8.46,2.7226
琴,1955,41.74,3.2911,699,11.2,2.8445
账,1953,41.69,3.2907,1062,17.01,3.0261
固,1948,41.59,3.2896,1358,21.75,3.1329
唔,1947,41.57,3.2894,576,9.23,2.7604
唐,1939,41.4,3.2876,877,14.05,2.943
貌,1933,41.27,3.2862,1440,23.07,3.1584
漏,1931,41.22,3.2858,1333,21.35,3.1248
卢,1924,41.08,3.2842,435,6.97,2.6385
荡,1916,40.9,3.2824,1214,19.45,3.0842
扣,1912,40.82,3.2815,1200,19.22,3.0792
仰,1904,40.65,3.2797,1072,17.17,3.0302
君,1901,40.58,3.279,780,12.49,2.8921
夹,1900,40.56,3.2788,1174,18.81,3.0697
倍,1900,40.56,3.2788,1339,21.45,3.1268
晓,1898,40.52,3.2783,887,14.21,2.9479
牧,1896,40.48,3.2778,695,11.13,2.842
桥,1894,40.43,3.2774,849,13.6,2.9289
辑,1890,40.35,3.2765,992,15.89,2.9965
巡,1886,40.26,3.2755,1012,16.21,3.0052
喷,1883,40.2,3.2749,1031,16.51,3.0133
詹,1881,40.16,3.2744,392,6.28,2.5933
牲,1880,40.14,3.2742,1151,18.44,3.0611
昏,1875,40.03,3.273,1130,18.1,3.0531
凡,1875,40.03,3.273,1077,17.25,3.0322
肤,1874,40.01,3.2728,1153,18.47,3.0618
饰,1873,39.99,3.2725,1226,19.64,3.0885
灾,1870,39.92,3.2718,1065,17.06,3.0273
欣,1870,39.92,3.2718,1264,20.25,3.1017
谷,1867,39.86,3.2711,893,14.3,2.9509
芬,1865,39.82,3.2707,481,7.7,2.6821
滩,1865,39.82,3.2707,957,15.33,2.9809
愤,1861,39.73,3.2697,1184,18.97,3.0734
敦,1858,39.67,3.269,688,11.02,2.8376
厕,1856,39.62,3.2686,1111,17.8,3.0457
奸,1854,39.58,3.2681,794,12.72,2.8998
坞,1849,39.47,3.2669,624,10,2.7952
贱,1848,39.45,3.2667,1034,16.56,3.0145
盟,1847,39.43,3.2665,732,11.73,2.8645
闯,1844,39.37,3.2658,1221,19.56,3.0867
咒,1840,39.28,3.2648,718,11.5,2.8561
窃,1839,39.26,3.2646,929,14.88,2.968
辜,1839,39.26,3.2646,1078,17.27,3.0326
朵,1831,39.09,3.2627,1080,17.3,3.0334
植,1827,39,3.2617,823,13.18,2.9154
圆,1825,38.96,3.2613,1081,17.32,3.0338
篮,1825,38.96,3.2613,659,10.56,2.8189
屎,1824,38.94,3.261,844,13.52,2.9263
伪,1821,38.88,3.2603,1106,17.72,3.0438
距,1821,38.88,3.2603,1244,19.93,3.0948
延,1821,38.88,3.2603,1209,19.37,3.0824
凭,1820,38.85,3.2601,1328,21.27,3.1232
田,1819,38.83,3.2598,625,10.01,2.7959
捐,1816,38.77,3.2591,753,12.06,2.8768
挣,1814,38.73,3.2586,1193,19.11,3.0766
蕾,1814,38.73,3.2586,615,9.85,2.7889
饮,1811,38.66,3.2579,1200,19.22,3.0792
宽,1795,38.32,3.2541,1181,18.92,3.0722
驶,1795,38.32,3.2541,973,15.59,2.9881
伸,1794,38.3,3.2538,1195,19.14,3.0774
析,1793,38.28,3.2536,1001,16.03,3.0004
戈,1792,38.26,3.2533,464,7.43,2.6665
媒,1787,38.15,3.2521,920,14.74,2.9638
裙,1782,38.04,3.2509,900,14.42,2.9542
倾,1781,38.02,3.2507,1262,20.21,3.1011
辱,1776,37.92,3.2494,1200,19.22,3.0792
缝,1773,37.85,3.2487,930,14.9,2.9685
妞,1772,37.83,3.2485,968,15.51,2.9859
惑,1765,37.68,3.2467,1257,20.13,3.0993
狼,1762,37.62,3.246,749,12,2.8745
矩,1758,37.53,3.245,1114,17.84,3.0469
脉,1757,37.51,3.2448,955,15.3,2.98
绕,1754,37.45,3.244,1188,19.03,3.0748
宗,1751,37.38,3.2433,977,15.65,2.9899
祸,1751,37.38,3.2433,1065,17.06,3.0273
益,1750,37.36,3.243,1176,18.84,3.0704
壁,1747,37.3,3.2423,1164,18.64,3.066
荷,1745,37.25,3.2418,860,13.78,2.9345
柯,1745,37.25,3.2418,348,5.57,2.5416
虎,1745,37.25,3.2418,779,12.48,2.8915
趴,1739,37.13,3.2403,803,12.86,2.9047
汇,1737,37.08,3.2398,1061,17,3.0257
缩,1736,37.06,3.2395,1202,19.25,3.0799
诗,1734,37.02,3.239,772,12.37,2.8876
泽,1733,37,3.2388,698,11.18,2.8439
诱,1731,36.95,3.2383,1195,19.14,3.0774
溜,1731,36.95,3.2383,1038,16.63,3.0162
赫,1731,36.95,3.2383,478,7.66,2.6794
殊,1731,36.95,3.2383,1236,19.8,3.092
济,1729,36.91,3.2378,1000,16.02,3
含,1726,36.85,3.237,1221,19.56,3.0867
隆,1725,36.83,3.2368,599,9.59,2.7774
狠,1719,36.7,3.2353,889,14.24,2.9489
甩,1719,36.7,3.2353,1099,17.6,3.041
燃,1719,36.7,3.2353,924,14.8,2.9657
抵,1716,36.63,3.2345,1166,18.68,3.0667
粗,1709,36.49,3.2327,1268,20.31,3.1031
妓,1709,36.49,3.2327,812,13.01,2.9096
炒,1708,36.46,3.2325,832,13.33,2.9201
揭,1706,36.42,3.232,934,14.96,2.9703
涉,1702,36.34,3.231,1258,20.15,3.0997
晕,1697,36.23,3.2297,1162,18.61,3.0652
澡,1697,36.23,3.2297,1124,18,3.0508
偿,1696,36.21,3.2294,1173,18.79,3.0693
牵,1693,36.14,3.2287,1224,19.61,3.0878
岸,1693,36.14,3.2287,881,14.11,2.945
呐,1685,35.97,3.2266,762,12.21,2.882
肚,1684,35.95,3.2263,1145,18.34,3.0588
暖,1680,35.87,3.2253,1071,17.16,3.0298
绳,1679,35.84,3.2251,809,12.96,2.9079
蛇,1676,35.78,3.2243,631,10.11,2.8
婴,1676,35.78,3.2243,858,13.74,2.9335
胞,1675,35.76,3.224,882,14.13,2.9455
链,1675,35.76,3.224,924,14.8,2.9657
薄,1674,35.74,3.2238,1105,17.7,3.0434
瞎,1674,35.74,3.2238,1167,18.69,3.0671
阁,1672,35.7,3.2232,585,9.37,2.7672
湖,1671,35.67,3.223,720,11.53,2.8573
讶,1671,35.67,3.223,1225,19.62,3.0881
齐,1671,35.67,3.223,945,15.14,2.9754
哎,1665,35.55,3.2214,864,13.84,2.9365
瞒,1664,35.52,3.2212,1158,18.55,3.0637
逐,1663,35.5,3.2209,1044,16.72,3.0187
豁,1663,35.5,3.2209,259,4.15,2.4133
韦,1659,35.42,3.2198,339,5.43,2.5302
肩,1653,35.29,3.2183,1150,18.42,3.0607
呵,1650,35.23,3.2175,634,10.16,2.8021
缘,1650,35.23,3.2175,1188,19.03,3.0748
巫,1649,35.2,3.2172,531,8.51,2.7251
渴,1646,35.14,3.2164,1156,18.52,3.063
筑,1643,35.08,3.2156,892,14.29,2.9504
励,1640,35.01,3.2148,1059,16.96,3.0249
艰,1633,34.86,3.213,1098,17.59,3.0406
予,1630,34.8,3.2122,1155,18.5,3.0626
泄,1630,34.8,3.2122,1105,17.7,3.0434
冻,1620,34.59,3.2095,910,14.58,2.959
积,1618,34.54,3.209,1148,18.39,3.0599
拨,1617,34.52,3.2087,777,12.45,2.8904
癌,1610,34.37,3.2068,627,10.04,2.7973
云,1609,34.35,3.2066,901,14.43,2.9547
幽,1608,34.33,3.2063,935,14.98,2.9708
韩,1606,34.29,3.2057,365,5.85,2.5623
乳,1605,34.26,3.2055,857,13.73,2.933
遵,1601,34.18,3.2044,1111,17.8,3.0457
龄,1594,34.03,3.2025,967,15.49,2.9854
汁,1591,33.97,3.2017,929,14.88,2.968
罐,1589,33.92,3.2011,812,13.01,2.9096
酱,1586,33.86,3.2003,877,14.05,2.943
骚,1585,33.84,3.2,1029,16.48,3.0124
芭,1584,33.82,3.1998,442,7.08,2.6454
亨,1584,33.82,3.1998,425,6.81,2.6284
齿,1572,33.56,3.1965,905,14.5,2.9566
忽,1572,33.56,3.1965,1173,18.79,3.0693
肠,1566,33.43,3.1948,956,15.31,2.9805
钢,1560,33.3,3.1931,789,12.64,2.8971
押,1557,33.24,3.1923,925,14.82,2.9661
玻,1556,33.22,3.192,902,14.45,2.9552
姿,1548,33.05,3.1898,755,12.09,2.8779
召,1546,33.01,3.1892,977,15.65,2.9899
恰,1544,32.96,3.1886,901,14.43,2.9547
擅,1543,32.94,3.1884,1180,18.9,3.0719
柔,1542,32.92,3.1881,1019,16.32,3.0082
患,1540,32.88,3.1875,997,15.97,2.9987
剑,1538,32.83,3.187,476,7.62,2.6776
篇,1538,32.83,3.187,917,14.69,2.9624
汗,1537,32.81,3.1867,914,14.64,2.9609
牺,1536,32.79,3.1864,982,15.73,2.9921
阶,1535,32.77,3.1861,1023,16.39,3.0099
割,1534,32.75,3.1858,929,14.88,2.968
拔,1529,32.64,3.1844,960,15.38,2.9823
酸,1527,32.6,3.1838,896,14.35,2.9523
叶,1525,32.56,3.1833,733,11.74,2.8651
歇,1522,32.49,3.1824,728,11.66,2.8621
亿,1521,32.47,3.1821,715,11.45,2.8543
趟,1519,32.43,3.1816,1172,18.77,3.0689
扭,1517,32.39,3.181,978,15.67,2.9903
稣,1517,32.39,3.181,523,8.38,2.7185
胶,1514,32.32,3.1801,897,14.37,2.9528
裸,1513,32.3,3.1798,815,13.05,2.9112
眠,1508,32.19,3.1784,881,14.11,2.945
融,1507,32.17,3.1781,1030,16.5,3.0128
仿,1499,32,3.1758,935,14.98,2.9708
抬,1496,31.94,3.1749,1013,16.23,3.0056
臂,1487,31.75,3.1723,976,15.63,2.9894
潮,1485,31.7,3.1717,927,14.85,2.9671
舌,1482,31.64,3.1708,962,15.41,2.9832
舍,1482,31.64,3.1708,802,12.85,2.9042
焦,1481,31.62,3.1706,1045,16.74,3.0191
赋,1481,31.62,3.1706,977,15.65,2.9899
悉,1478,31.55,3.1697,1147,18.37,3.0596
径,1475,31.49,3.1688,1002,16.05,3.0009
撑,1475,31.49,3.1688,1013,16.23,3.0056
咯,1474,31.47,3.1685,860,13.78,2.9345
泥,1472,31.43,3.1679,893,14.3,2.9509
贩,1470,31.38,3.1673,705,11.29,2.8482
哼,1467,31.32,3.1664,820,13.13,2.9138
佬,1465,31.28,3.1658,675,10.81,2.8293
宴,1463,31.23,3.1652,744,11.92,2.8716
艘,1462,31.21,3.1649,577,9.24,2.7612
寸,1462,31.21,3.1649,993,15.91,2.9969
誉,1461,31.19,3.1647,918,14.7,2.9628
陈,1461,31.19,3.1647,827,13.25,2.9175
惩,1459,31.15,3.1641,981,15.71,2.9917
宜,1454,31.04,3.1626,1040,16.66,3.017
兔,1452,31,3.162,611,9.79,2.786
奈,1450,30.96,3.1614,423,6.78,2.6263
墓,1449,30.93,3.1611,696,11.15,2.8426
胃,1448,30.91,3.1608,998,15.99,2.9991
页,1442,30.78,3.159,854,13.68,2.9315
挤,1438,30.7,3.1578,981,15.71,2.9917
脆,1437,30.68,3.1575,1122,17.97,3.05
桶,1435,30.64,3.1569,915,14.66,2.9614
巾,1435,30.64,3.1569,875,14.02,2.942
伏,1434,30.61,3.1565,936,14.99,2.9713
佑,1433,30.59,3.1562,858,13.74,2.9335
询,1432,30.57,3.1559,988,15.83,2.9948
衫,1429,30.51,3.155,897,14.37,2.9528
穷,1429,30.51,3.155,952,15.25,2.9786
缠,1425,30.42,3.1538,1057,16.93,3.0241
妒,1424,30.4,3.1535,934,14.96,2.9703
妆,1424,30.4,3.1535,775,12.41,2.8893
旋,1420,30.32,3.1523,808,12.94,2.9074
廉,1417,30.25,3.1514,579,9.27,2.7627
扬,1414,30.19,3.1504,918,14.7,2.9628
遥,1413,30.17,3.1501,925,14.82,2.9661
蜂,1413,30.17,3.1501,450,7.21,2.6532
侧,1407,30.04,3.1483,830,13.29,2.9191
舰,1407,30.04,3.1483,273,4.37,2.4362
夸,1406,30.02,3.148,1037,16.61,3.0158
筹,1404,29.97,3.1474,744,11.92,2.8716
朱,1403,29.95,3.1471,368,5.89,2.5658
企,1401,29.91,3.1464,862,13.81,2.9355
递,1400,29.89,3.1461,995,15.94,2.9978
铃,1397,29.82,3.1452,722,11.56,2.8585
酪,1396,29.8,3.1449,703,11.26,2.847
刷,1394,29.76,3.1443,860,13.78,2.9345
纵,1393,29.74,3.144,895,14.34,2.9518
衬,1392,29.72,3.1436,877,14.05,2.943
猛,1386,29.59,3.1418,856,13.71,2.9325
耀,1385,29.57,3.1414,855,13.7,2.932
耻,1383,29.53,3.1408,984,15.76,2.993
振,1381,29.48,3.1402,848,13.58,2.9284
污,1379,29.44,3.1396,912,14.61,2.96
册,1372,29.29,3.1374,916,14.67,2.9619
殿,1372,29.29,3.1374,363,5.81,2.5599
瘾,1372,29.29,3.1374,766,12.27,2.8842
唤,1371,29.27,3.137,904,14.48,2.9562
棍,1366,29.16,3.1355,814,13.04,2.9106
璃,1364,29.12,3.1348,848,13.58,2.9284
填,1358,28.99,3.1329,955,15.3,2.98
疾,1353,28.88,3.1313,814,13.04,2.9106
厄,1352,28.86,3.131,359,5.75,2.5551
娅,1350,28.82,3.1303,207,3.32,2.316
慰,1344,28.69,3.1284,1004,16.08,3.0017
柏,1343,28.67,3.1281,420,6.73,2.6232
芝,1342,28.65,3.1278,613,9.82,2.7875
磅,1339,28.59,3.1268,746,11.95,2.8727
谍,1336,28.52,3.1258,465,7.45,2.6675
宿,1334,28.48,3.1252,824,13.2,2.9159
忌,1332,28.44,3.1245,906,14.51,2.9571
堪,1331,28.42,3.1242,927,14.85,2.9671
睁,1331,28.42,3.1242,815,13.05,2.9112
脖,1330,28.39,3.1239,940,15.06,2.9731
京,1329,28.37,3.1235,392,6.28,2.5933
陌,1328,28.35,3.1232,976,15.63,2.9894
返,1326,28.31,3.1225,804,12.88,2.9053
奉,1326,28.31,3.1225,939,15.04,2.9727
扇,1325,28.29,3.1222,839,13.44,2.9238
肌,1322,28.22,3.1212,825,13.21,2.9165
廊,1321,28.2,3.1209,834,13.36,2.9212
仓,1321,28.2,3.1209,671,10.75,2.8267
猴,1320,28.18,3.1206,588,9.42,2.7694
慌,1318,28.14,3.1199,963,15.43,2.9836
鉴,1316,28.09,3.1193,873,13.98,2.941
凌,1313,28.03,3.1183,893,14.3,2.9509
仁,1306,27.88,3.1159,728,11.66,2.8621
孔,1301,27.77,3.1143,864,13.84,2.9365
税,1301,27.77,3.1143,680,10.89,2.8325
杆,1300,27.75,3.1139,679,10.88,2.8319
嫉,1298,27.71,3.1133,871,13.95,2.94
箭,1291,27.56,3.1109,556,8.91,2.7451
哟,1289,27.52,3.1103,663,10.62,2.8215
塑,1284,27.41,3.1086,846,13.55,2.9274
湿,1281,27.35,3.1075,899,14.4,2.9538
揍,1280,27.33,3.1072,755,12.09,2.8779
丰,1278,27.28,3.1065,908,14.54,2.9581
捉,1278,27.28,3.1065,789,12.64,2.8971
膀,1274,27.2,3.1052,858,13.74,2.9335
幅,1274,27.2,3.1052,665,10.65,2.8228
恕,1274,27.2,3.1052,840,13.46,2.9243
吊,1272,27.16,3.1045,822,13.17,2.9149
踏,1270,27.11,3.1038,852,13.65,2.9304
泪,1268,27.07,3.1031,808,12.94,2.9074
罩,1260,26.9,3.1004,777,12.45,2.8904
尴,1257,26.84,3.0993,903,14.46,2.9557
郁,1257,26.84,3.0993,830,13.29,2.9191
尬,1256,26.81,3.099,902,14.45,2.9552
茜,1256,26.81,3.099,179,2.87,2.2529
姨,1249,26.66,3.0966,547,8.76,2.738
崩,1246,26.6,3.0955,928,14.86,2.9675
港,1244,26.56,3.0948,570,9.13,2.7559
拆,1243,26.54,3.0945,827,13.25,2.9175
淋,1241,26.49,3.0938,764,12.24,2.8831
玉,1240,26.47,3.0934,632,10.12,2.8007
勾,1240,26.47,3.0934,872,13.97,2.9405
孙,1239,26.45,3.0931,690,11.05,2.8388
币,1239,26.45,3.0931,587,9.4,2.7686
魅,1234,26.34,3.0913,847,13.57,2.9279
署,1227,26.19,3.0888,696,11.15,2.8426
炮,1227,26.19,3.0888,498,7.98,2.6972
奴,1224,26.13,3.0878,551,8.83,2.7412
桃,1219,26.02,3.086,611,9.79,2.786
培,1218,26,3.0856,757,12.13,2.8791
弥,1217,25.98,3.0853,745,11.93,2.8722
抚,1215,25.94,3.0846,854,13.68,2.9315
甘,1213,25.9,3.0839,607,9.72,2.7832
唇,1212,25.87,3.0835,706,11.31,2.8488
腐,1209,25.81,3.0824,756,12.11,2.8785
截,1200,25.62,3.0792,828,13.26,2.918
砍,1200,25.62,3.0792,640,10.25,2.8062
